,Paragraph
141,"Was mit den formalen Bedingungen der Erfahrung (der Anschauung und
den Begriffen nach) übereinkommt, ist möglich."
142,"Was mit den materialen Bedingungen der Erfahrung (der Empfindung)
zusammenhängt, ist wirklich."
143,"Dessen Zusammenhang mit dem Wirklichen nach allgemeinen Bedingungen
der Erfahrung bestimmt ist, ist (existiert) notwendig."
144,"Die Kategorien der Modalität haben das Besondere an sich: daß sie den
Begriff, dem sie als Prädikate beigefügt werden, als Bestimmung des
Objekts nicht im mindesten vermehren, sondern nur das Verhältnis zum
Erkenntnisvermögen ausdrücken. Wenn der Begriff eines Dinges schon
ganz vollständig ist, so kann ich doch noch von diesem Gegenstande
fragen, ob er bloß möglich, oder auch wirklich, oder, wenn er das
letztere ist, ob er gar auch notwendig sei? Hierdurch werden keine
Bestimmungen mehr im Objekte selbst gedacht, sondern es frägt sich
nur, wie es sich (samt allen seinen Bestimmungen) zum Verstande und
dessen empirischen Gebrauche, zur empirischen Urteilskraft, und zur
Vernunft (in ihrer Anwendung auf Erfahrung) verhalte?"
145,"Eben um deswillen sind auch die Grundsätze der Modalität nichts
weiter, als Erklärungen der Begriffe der Möglichkeit, Wirklichkeit und
Notwendigkeit in ihrem empirischen Gebrauche, und hiermit zugleich
Restriktionen aller Kategorien auf den bloß empirischen Gebrauch, ohne
den transzendentalen zuzulassen und zu erlauben. Denn, wenn diese
nicht eine bloß logische Bedeutung haben, und die Form des Denkens
analytisch ausdrücken sollen, sondern Dinge und deren Möglichkeit,
Wirklichkeit oder Notwendigkeit betreffen sollen, so müssen sie auf
die mögliche Erfahrung und deren synthetische Einheit gehen, in
welcher allein Gegenstände der Erkenntnis gegeben werden."
146,"Das Postulat der Möglichkeit der Dinge fordert also, daß der Begriff
derselben mit den formalen Bedingungen einer Erfahrung überhaupt
zusammenstimme. Diese, nämlich die objektive Form der Erfahrung
überhaupt, enthält aber alle Synthesis, welche zur Erkenntnis der
Objekte erfordert wird. Ein Begriff, der eine Synthesis in sich faßt,
ist für leer zu halten, und bezieht sich auf keinen Gegenstand, wenn
diese Synthesis nicht zur Erfahrung gehört, entweder als von ihr
erborgt, und dann heißt er ein empirischer Begriff, oder als eine
solche, auf der, als Bedingung a priori, Erfahrung überhaupt (die Form
derselben) beruht, und dann ist es ein reiner Begriff, der dennoch
zur Erfahrung gehört, weil sein Objekt nur in dieser angetroffen
werden kann. Denn wo will man den Charakter der Möglichkeit eines
Gegenstandes, der durch einen synthetischen Begriff a priori gedacht
worden, hernehmen, wenn es nicht von der Synthesis geschieht, welche
die Form der empirischen Erkenntnis der Objekte ausmacht? Daß in einem
solchen Begriffe kein Widerspruch enthalten sein müsse, ist zwar
eine notwendige logische Bedingung; aber zur objektiven Realität des
Begriffs, d.i.# der Möglichkeit eines solchen Gegenstandes, als durch
den Begriff gedacht wird, bei weitem nicht genug. So ist in dem
Begriffe einer Figur, die in zwei geraden Linien eingeschlossen ist,
kein Widerspruch, denn die Begriffe von zwei geraden Linien und deren
Zusammenstoßung enthalten keine Verneinung einer Figur; sondern die
Unmöglichkeit beruht nicht auf dem Begriffe an sich selbst, sondern
der Konstruktion desselben im Raume, d.i.# den Bedingungen des Raumes
und der Bestimmung desselben, diese haben aber wiederum ihre objektive
Realität, d.i.# sie gehen auf mögliche Dinge, weil sie die Form der
Erfahrung überhaupt a priori in sich enthalten."
147,"Und nun wollen wir den ausgebreiteten Nutzen und Einfluß dieses
Postulats der Möglichkeit vor Augen legen. Wenn ich mir ein Ding
vorstelle, das beharrlich ist, so, daß alles, was da wechselt, bloß zu
seinem Zustande gehört, so kann ich niemals aus einem solchen Begriffe
allein erkennen, daß ein dergleichen Ding möglich sei. Oder, ich
stelle mir etwas vor, welches so beschaffen sein soll, daß, wenn
es gesetzt wird, jederzeit und unausbleiblich etwas anderes darauf
erfolgt, so mag dieses allerdings ohne Widerspruch so gedacht
werden können; ob aber dergleichen Eigenschaft (als Kausalität) an
irgendeinem möglichen Dinge angetroffen werde, kann dadurch nicht
geurteilt werden. Endlich kann ich mir verschiedene Dinge (Substanzen)
vorstellen, die so beschaffen sind, daß der Zustand des einen eine
Folge im Zustande des anderen nach sich zieht, und so wechselweise;
aber, ob dergleichen Verhältnis irgend Dingen zukommen könne, kann aus
diesen Begriffen, welche eine bloß willkürliche Synthesis enthalten,
gar nicht abgenommen werden. Nur daran also, daß diese Begriffe die
Verhältnisse der Wahrnehmungen in jeder Erfahrung a priori ausdrücken,
erkennt man ihre objektive Realität, d.i.# ihre transzendentale
Wahrheit, und zwar freilich unabhängig von der Erfahrung, aber doch
nicht unabhängig von aller Beziehung auf die Form einer Erfahrung
überhaupt, und die synthetische Einheit, in der allein Gegenstände
empirisch können erkannt werden."
148,"Wenn man sich aber gar neue Begriffe von Substanzen, von Kräften, von
Wechselwirkungen, aus dem Stoffe, den uns die Wahrnehmung darbietet,
machen wollte, ohne von der Erfahrung selbst das Beispiel ihrer
Verknüpfung zu entlehnen, so würde man in lauter Hirngespinste
geraten, deren Möglichkeit ganz und gar kein Kennzeichen für sich hat,
weil man bei ihnen nicht Erfahrung zur Lehrerin annimmt, noch diese
Begriffe von ihr entlehnt. Dergleichen gedichtete Begriffe können den
Charakter ihrer Möglichkeit nicht so, wie die Kategorien, a priori,
als Bedingungen, von denen alle Erfahrung abhängt, sondern nur a
posteriori, als solche, die durch die Erfahrung selbst gegeben
werden, bekommen, und ihre Möglichkeit muß entweder a posteriori und
empirisch, oder sie kann gar nicht erkannt werden. Eine Substanz,
welche beharrlich im Raume gegenwärtig wäre, doch ohne ihn zu
erfüllen, (wie dasjenige Mittelding zwischen Materie und denkenden
Wesen, welches einige haben einführen wollen,) oder eine besondere
Grundkraft unseres Gemüts, das Künftige zum voraus anzuschauen (nicht
etwa bloß zu folgern), oder endlich ein Vermögen desselben, mit
anderen Menschen in Gemeinschaft der Gedanken zu stehen (so entfernt
sie auch sein mögen), das sind Begriffe, deren Möglichkeit ganz
grundlos ist, weil sie nicht auf Erfahrung und deren bekannte
Gesetze gegründet werden kann, und ohne sie eine willkürliche
Gedankenverbindung ist, die, ob sie zwar keinen Widerspruch enthält,
doch keinen Anspruch auf objektive Realität, mithin auf die
Möglichkeit eines solchen Gegenstandes, als man sich hier denken will,
machen kann. Was Realität betrifft, so verbietet es sich wohl von
selbst, sich eine solche in concreto zu denken, ohne die Erfahrung
zu Hilfe zu nehmen, weil sie nur auf Empfindung, als Materie der
Erfahrung, gehen kann, und nicht die Form des Verhältnisses betrifft,
mit der man allenfalls in Erdichtungen spielen könnte."
149,"Aber ich lasse alles vorbei, dessen Möglichkeit nur aus der
Wirklichkeit in der Erfahrung kann abgenommen werden, und erwäge hier
nur die Möglichkeit der Dinge durch Begriffe a priori, von denen ich
fortfahre zu behaupten, daß sie niemals aus solchen Begriffen für sich
allein, sondern jederzeit nur als formale und objektive Bedingungen
einer Erfahrung überhaupt stattfinden können."
150,"Es hat zwar den Anschein, als wenn die Möglichkeit eines Triangels aus
seinem Begriffe an sich selbst könne erkannt werden (von der Erfahrung
ist er gewiß unabhängig); denn in der Tat können wir ihm gänzlich a
priori einen Gegenstand geben, d.i.# ihn konstruieren. Weil dieses aber
nur die Form von einem Gegenstande ist, so würde er doch immer nur ein
Produkt der Einbildung bleiben, von dessen Gegenstand die Möglichkeit
noch zweifelhaft bliebe, als wozu noch etwas mehr erfordert wird,
nämlich daß eine solche Figur unter lauter Bedingungen, auf denen alle
Gegenstände der Erfahrung beruhen, gedacht sei. Daß nun der Raum eine
formale Bedingung a priori von äußeren Erfahrungen ist, daß eben
dieselbe bildende Synthesis, wodurch wir in der Einbildungskraft einen
Triangel konstruieren, mit derjenigen gänzlich einerlei sei, welche
wir in der Apprehension einer Erscheinung ausüben, um uns davon
einen Erfahrungsbegriff zu machen, das ist es allein, was mit diesem
Begriffe die Vorstellung von der Möglichkeit eines solchen Dinges
verknüpft. Und so ist die Möglichkeit kontinuierlicher Größen,
ja sogar der Größen überhaupt, weil die Begriffe davon insgesamt
synthetisch sind, niemals aus den Begriffen selbst, sondern aus
ihnen, als formalen Bedingungen der Bestimmung der Gegenstände in der
Erfahrung überhaupt allererst klar; und wo sollte man auch Gegenstände
suchen wollen, die den Begriffen korrespondierten, wäre es nicht
in der Erfahrung, durch die uns allein Gegenstände gegeben werden?
wiewohl wir, ohne eben Erfahrung selbst voranzuschicken, bloß in
Beziehung auf die formalen Bedingungen, unter welchen in ihr überhaupt
etwas als Gegenstand bestimmt wird, mithin völlig a priori, aber doch
nur in Beziehung auf sie, und innerhalb ihren Grenzen, die Möglichkeit
der Dinge erkennen und charakterisieren können."
151,"Das Postulat, die Wirklichkeit der Dinge zu erkennen, fordert
Wahrnehmung, mithin Empfindung, deren man sich bewußt ist, zwar nicht
eben unmittelbar, von dem Gegenstande selbst, dessen Dasein erkannt
werden soll, aber doch Zusammenhang desselben mit irgendeiner
wirklichen Wahrnehmung, nach den Analogien der Erfahrung, welche alle
reale Verknüpfung in einer Erfahrung überhaupt darlegen."
152,"In dem bloßen Begriffe eines Dinges kann gar kein Charakter seines
Daseins angetroffen werden. Denn ob derselbe gleich noch so
vollständig sei, daß nicht das mindeste ermangle, um ein Ding mit
allen seinen inneren Bestimmungen zu denken, so hat das Dasein mit
allem diesem doch gar nichts zu tun, sondern nur mit der Frage: ob ein
solches Ding uns gegeben sei, so, daß die Wahrnehmung desselben vor
dem Begriffe allenfalls vorhergehen könne. Denn, daß der Begriff vor
der Wahrnehmung vorhergeht, bedeutet dessen bloße Möglichkeit; die
Wahrnehmung aber, die den Stoff zum Begriff hergibt, ist der einzige
Charakter der Wirklichkeit. Man kann aber auch vor der Wahrnehmung des
Dinges, und also komparative a priori das Dasein desselben erkennen,
wenn es nur mit einigen Wahrnehmungen, nach den Grundsätzen der
empirischen Verknüpfung derselben (den Analogien), zusammenhängt. Denn
alsdann hängt doch das Dasein des Dinges mit unseren Wahrnehmungen in
einer möglichen Erfahrung zusammen, und wir können nach dem Leitfaden
jener Analogien, von unserer wirklichen Wahrnehmung zu dem Dinge
in der Reihe möglicher Wahrnehmungen gelangen. So erkennen wir das
Dasein einer alle Körper durchdringenden magnetischen Materie aus
der Wahrnehmung des gezogenen Eisenfeiligs, obzwar eine unmittelbare
Wahrnehmung dieses Stoffs uns nach der Beschaffenheit unserer
Organe unmöglich ist. Denn überhaupt würden wir, nach Gesetzen der
Sinnlichkeit und dem Kontext unserer Wahrnehmungen, in einer Erfahrung
auch auf die unmittelbare empirische Anschauung derselben stoßen, wenn
unsere Sinne feiner wären, deren Grobheit die Form möglicher Erfahrung
überhaupt nichts angeht. Wo also Wahrnehmung und deren Anhang nach
empirischen Gesetzen hinreicht, dahin reicht auch unsere Erkenntnis
vom Dasein der Dinge. Fangen wir nicht von Erfahrung an, oder
gehen wir nicht nach Gesetzen des empirischen Zusammenhanges der
Erscheinungen fort, so machen wir uns vergeblich Staat, das Dasein
irgendeines Dinges erraten oder erforschen zu wollen. Einen mächtigen
Einwurf aber wider diese Regeln, das Dasein mittelbar zu beweisen,
macht der Idealismus, dessen Widerlegung hier an der rechten Stelle,
ist."
153,"
Widerlegung des Idealismus."
154,"Der Idealismus (ich verstehe den materialen) ist die Theorie, welche
das Dasein der Gegenstände im Raum außer uns entweder bloß für
zweifelhaft und unerweislich, oder für falsch und unmöglich erklärt;
der erstere ist der problematische des Cartesius, der nur Eine
empirische Behauptung (assertio), nämlich: Ich bin, für ungezweifelt
erklärt; der zweite ist der dogmatische des Berkeley, der den Raum,
mit allen den Dingen, welchen er als unabtrennliche Bedingung anhängt,
für etwas, was an sich selbst unmöglich sei, und darum auch die Dinge
im Raum für bloße Einbildungen erklärt. Der dogmatische Idealismus ist
unvermeidlich, wenn man den Raum als Eigenschaft, die den Dingen an
sich selbst zukommen soll, ansieht; denn da ist er mit allem, dem
er zur Bedingung dient, ein Unding. Der Grund zu diesem Idealismus
aber ist von uns in der transzendentalen Ästhetik gehoben. Der
problematische, der nichts hierüber behauptet, sondern nur das
Unvermögen, ein Dasein außer dem unserigen durch unmittelbare
Erfahrung zu beweisen, vorgibt, ist vernünftig und einer gründlichen
philosophischen Denkungsart gemäß; nämlich, bevor ein hinreichender
Beweis gefunden worden, kein entscheidendes Urteil zu erlauben. Der
verlangte Beweis muß also dartun, daß wir von äußeren Dingen auch
Erfahrung und nicht bloß Einbildung haben; welches wohl nicht anders
wird geschehen können, als wenn man beweisen kann, daß selbst unsere
innere, dem Cartesius unbezweifelte, Erfahrung nur unter Voraussetzung
äußerer Erfahrung möglich sei."
155,"
Das bloße, aber empirisch bestimmte, Bewußtsein meines eigenen Daseins
beweist das Dasein der Gegenstände im Raum außer mir."
156,"
Ich bin mir meines Daseins als in der Zeit bestimmt bewußt. Alle
Zeitbestimmung setzt etwas Beharrliches in der Wahrnehmung voraus.
Dieses Beharrliche aber kann nicht etwas in mir sein, weil eben mein
Dasein in der Zeit durch dieses Beharrliche allererst bestimmt werden
kann 1). Also ist die Wahrnehmung dieses Beharrlichen nur durch ein
Ding außer mir und nicht durch die bloße Vorstellung eines Dinges
außer mir möglich. Folglich ist die Bestimmung meines Daseins in
der Zeit nur durch die Existenz wirklicher Dinge, die ich außer
mir wahrnehme, möglich. Nun ist das Bewußtsein in der Zeit mit dem
Bewußtsein der Möglichkeit dieser Zeitbestimmung notwendig verbunden:
Also ist es auch mit der Existenz der Dinge außer mir, als Bedingung
der Zeitbestimmung, notwendig verbunden; d.i.# das Bewußtsein meines
eigenen Daseins ist zugleich ein unmittelbares Bewußtsein des Daseins
anderer Dinge außer mir."
157,"Der Satz ist nach Kants Vorrede zu dieser zweiten Ausgabe
   folgendermaßen umzuändern: ""Dieses Beharrliche aber kann nicht eine
   Anschauung in mir sein. Denn alle Bestimmungsgründe meines Daseins,
   die in mir angetroffen werden können, sind Vorstellungen, und
   bedürfen als solche, selbst ein von ihnen unterschiedenes
   Beharrliches, worauf in Beziehung der Wechsel derselben, mithin
   mein Dasein in der Zeit, darin sie wechseln, bestimmt werden
   können""."
158,"Man wird in dem vorhergehenden Beweise gewahr, daß das
Spiel, welches der Idealismus trieb, ihm mit mehrerem Rechte umgekehrt
vergolten wird. Dieser nahm an, daß die einzige unmittelbare Erfahrung
die innere sei, und daraus auf äußere Dinge nur geschlossen werde,
aber, wie allemal, wenn man aus gegebenen Wirkungen auf bestimmte
Ursachen schließt, nur unzuverlässig, weil auch in uns selbst die
Ursache der Vorstellungen liegen kann, die wir äußeren Dingen,
vielleicht fälschlich, zuschreiben. Allein hier wird bewiesen, daß
äußere Erfahrung eigentlich unmittelbar sei,* daß nur vermittelst
ihrer, zwar nicht das Bewußtsein unserer eigenen Existenz, aber doch
die Bestimmung derselben in der Zeit, d.i.# innere Erfahrung, möglich
sei. Freilich ist die Vorstellung: ich bin, die das Bewußtsein
ausdrückt, welches alles Denken begleiten kann, das, was unmittelbar
die Existenz eines Subjekts in sich schließt, aber noch keine
Erkenntnis desselben, mithin auch nicht empirische, d.i.# Erfahrung;
denn dazu gehört, außer dem Gedanken von etwas Existierendem, noch
Anschauung und hier innere, in Ansehung deren, d.i.# der Zeit, das
Subjekt bestimmt werden muß, wozu durchaus äußere Gegenstände
erforderlich sind, so, daß folglich innere Erfahrung selbst nur
mittelbar und nur durch äußere möglich ist."
159,"* Das unmittelbare Bewußtsein des Daseins äußerer Dinge wird in dem
  vorstehenden Lehrsatze nicht vorausgesetzt, sondern bewiesen, die
  Möglichkeit dieses Bewußtseins mögen wir einsehen, oder nicht. Die
  Frage wegen der letzteren würde sein: ob wir nur einen inneren Sinn,
  aber keinen äußeren, sondern bloß äußere Einbildung hätten. Es ist
  aber klar, daß, um uns auch nur etwas als äußerlich einzubilden,
  d.i.# dem Sinne in der Anschauung darzustellen, wir schon einen
  äußeren Sinn haben, und dadurch die bloße Rezeptivität einer
  äußeren Anschauung von der Spontaneität, die jede Einbildung
  charakterisiert, unmittelbar unterscheiden müssen. Denn sich auch
  einen äußeren Sinn bloß einzubilden, würde das Anschauungsvermögen,
  welches durch die Einbildungskraft bestimmt werden soll, selbst
  vernichten."
160,"Hiermit stimmt nun aller Erfahrungsgebrauch unseres
Erkenntnisvermögens in Bestimmung der Zeit vollkommen überein. Nicht
allein, daß wir alle Zeitbestimmung nur durch den Wechsel in äußeren
Verhältnissen (die Bewegung) in Beziehung auf das Beharrliche im Raume
(z.B. Sonnenbewegung in Ansehung der Gegenstände. der Erde,) vornehmen
können, so haben wir so gar nichts Beharrliches, was wir dem Begriffe
einer Substanz, als Anschauung, unterlegen könnten, als bloß die
Materie und selbst diese Beharrlichkeit wird nicht aus äußerer
Erfahrung geschöpft, sondern a priori als notwendige Bedingung aller
Zeitbestimmung, mithin auch als Bestimmung des inneren Sinnes in
Ansehung unseres eigenen Daseins durch die Existenz äußerer Dinge
vorausgesetzt. Das Bewußtsein meiner selbst in der Vorstellung Ich ist
gar keine Anschauung, sondern eine bloß intellektuelle Vorstellung der
Selbsttätigkeit eines denkenden Subjekts. Daher hat dieses Ich auch
nicht das mindeste Prädikat der Anschauung, welches, als beharrlich,
der Zeitbestimmung im inneren Sinne zum Korrelat dienen könnte: wie
etwa Undurchdringlichkeit an der Materie, als empirischer Anschauung,
ist."
161,"Daraus, daß die Existenz äußerer Gegenstände zur
Möglichkeit eines bestimmten Bewußtseins unserer selbst erfordert
wird, folgt nicht, daß jede anschauliche Vorstellung äußerer Dinge
zugleich die Existenz derselben einschließe, denn jene kann gar wohl
die bloße Wirkung der Einbildungskraft (in Träumen sowohl als im
Wahnsinn) sein; sie ist es aber bloß durch die Reproduktion ehemaliger
äußerer Wahrnehmungen, welche, wie gezeigt worden, nur durch die
Wirklichkeit äußerer Gegenstände möglich sind. Es hat hier, nur,
bewiesen werden sollen, daß innere Erfahrung überhaupt nur durch
äußere Erfahrung überhaupt möglich sei. Ob diese oder jene vermeinte
Erfahrung nicht bloße Einbildung sei, muß nach den besonderen
Bestimmungen derselben und durch Zusammenhaltung mit den Kriterien
aller wirklichen Erfahrung, ausgemittelt werden."
162,"Was endlich das dritte Postulat betrifft, so geht es auf die materiale
Notwendigkeit im Dasein, und nicht die bloß formale und logische in
Verknüpfung der Begriffe. Da nun keine Existenz der Gegenstände der
Sinne völlig a priori erkannt werden kann, aber doch komparative a
priori relativisch auf ein anderes schon gegebenes Dasein, gleichwohl
aber auch alsdann nur auf diejenige Existenz kommen kann, die irgendwo
in dem Zusammenhange der Erfahrung, davon die gegebene Wahrnehmung ein
Teil ist, enthalten sein muß: so kann die Notwendigkeit der Existenz,
niemals aus Begriffen, sondern jederzeit nur aus der Verknüpfung mit
demjenigen, was wahrgenommen wird, nach allgemeinen Gesetzen der
Erfahrung erkannt werden können. Da ist nun kein Dasein, was unter
der Bedingung anderer gegebener Erscheinungen, als notwendig erkannt
werden könnte, als das Dasein der Wirkungen aus gegebenen Ursachen
nach Gesetzen der Kausalität. Also ist es nicht das Dasein der
Dinge (Substanzen), sondern ihres Zustandes, wovon wir allein die
Notwendigkeit erkennen können, und zwar aus anderen Zuständen, die
in der Wahrnehmung gegeben sind, nach empirischen Gesetzen der
Kausalität. Hieraus folgt: daß das Kriterium der Notwendigkeit
lediglich in dem Gesetze der möglichen Erfahrung liege: daß alles, was
geschieht, durch ihre Ursache in der Erscheinung a priori bestimmt
sei. Daher erkennen wir nur die Notwendigkeit der Wirkungen in
der Natur, deren Ursachen uns gegeben sind, und das Merkmal der
Notwendigkeit im Dasein reicht nicht weiter, als das Feld möglicher
Erfahrung, und selbst in diesem gilt es nicht von der Existenz der
Dinge, als Substanzen, weil diese niemals, als empirische Wirkungen,
oder etwas, das geschieht und entsteht, können angesehen werden. Die
Notwendigkeit betrifft also nur die Verhältnisse der Erscheinungen
nach dem dynamischen Gesetze der Kausalität, und die darauf sich
gründende Möglichkeit, aus irgendeinem gegebenen Dasein (einer
Ursache) a priori auf ein anderes Dasein (der Wirkung) zu schließen.
Alles, was geschieht, ist hypothetisch notwendig; das ist ein
Grundsatz, welcher die Veränderung in der Welt einem Gesetze
unterwirft, d.i.# einer Regel des notwendigen Daseins, ohne welche
gar nicht einmal Natur stattfinden würde. Daher ist der Satz: nichts
geschieht durch ein blindes Ohngefähr (in mundo non datur casus) ein
Naturgesetz a priori; imgleichen: keine Notwendigkeit in der Natur
ist blinde, sondern bedingte, mithin verständliche Notwendigkeit (non
datur fatum). Beide sind solche Gesetze, durch welche das Spiel der
Veränderungen einer Natur der Dinge (als Erscheinungen) unterworfen
wird, oder, welches einerlei ist, der Einheit des Verstandes, in
welchem sie allein zu einer Erfahrung, als der synthetischen Einheit
der Erscheinungen, gehören können. Diese beiden Grundsätze gehören zu
den dynamischen. Der erstere ist eigentlich eine Folge des Grundsatzes
von der Kausalität (unter den Analogien der Erfahrung). Der
zweite gehört zu den Grundsätzen der Modalität, welche zu der
Kausalbestimmung noch den Begriff der Notwendigkeit, die aber
unter einer Regel des Verstandes steht, hinzutut. Das Prinzip der
Kontinuität verbot in der Reihe der Erscheinungen (Veränderungen)
allen Absprung (in mundo non datur saltus), aber auch in dem Inbegriff
aller empirischen Anschauungen im Raume alle Lücke oder Kluft zwischen
zwei Erscheinungen (non datur hiatus); denn so kann man den Satz
ausdrücken: das in die Erfahrung nichts hineinkommen kann, was ein
Vakuum bewiese, oder auch nur als einen Teil der empirischen Synthesis
zuließe. Denn was das Leere betrifft, welches man sich außerhalb dem
Felde möglicher Erfahrung (der Welt) denken mag, so gehört dieses
nicht vor die Gerichtsbarkeit des bloßen Verstandes, welcher nur
über die Fragen entscheidet, die die Nutzung gegebener Erscheinungen
zur empirischen Erkenntnis betreffen, und ist eine Aufgabe für
die idealische Vernunft, die noch über die Sphäre einer möglichen
Erfahrung hinausgeht, und von dem urteilen will, was diese selbst
umgibt und begrenzt, muß daher in der transszendentalen Dialektik
erwogen werden. Diese vier Sätze (in mundo non datur hiatus, non datur
saltus, non datur casus, non datur fatum) könnten wir leicht, so wie
alle Grundsätze transzendentalen Ursprungs, nach ihrer Ordnung, gemäß
der Ordnung der Kategorien vorstellig machen, und jedem seine Stelle
beweisen, allein der schon geübte Leser wird dieses von selbst
tun, oder den Leitfaden dazu leicht entdecken. Sie vereinigen sich
aber alle lediglich dahin, um in der empirischen Synthesis nichts
zuzulassen, was dem Verstande und dem kontinuierlichen Zusammenhange
aller Erscheinungen, d.i.# der Einheit seiner Begriffe, Abbruch oder
Eintrag tun könnte. Denn er ist es allein, worin die Einheit der
Erfahrung, in der alle Wahrnehmungen ihre Stelle haben müssen, möglich
wird."
163,"Ob das Feld der Möglichkeit größer sei, als das Feld, was alles
Wirkliche enthält, dieses aber wiederum größer, als die Menge
desjenigen, was notwendig ist, das sind artige Fragen, und zwar von
synthetischer Auflösung, die aber auch nur der Gerichtsbarkeit der
Vernunft anheimfallen; denn sie wollen ungefähr soviel sagen, als,
ob alle Dinge, als Erscheinungen, insgesamt in den Inbegriff und
den Kontext einer einzigen Erfahrung gehören, von der jede gegebene
Wahrnehmung ein Teil ist, der also mit keinen anderen Erscheinungen
könne verbunden werden, oder ob meine Wahrnehmungen zu mehr als einer
möglichen Erfahrung (in ihrem allgemeinen Zusammenhange) gehören
können. Der Verstand gibt a priori der Erfahrung überhaupt nur die
Regel, nach den subjektiven und formalen Bedingungen, sowohl der
Sinnlichkeit als der Apperzeption, welche sie allein möglich machen.
Andere Formen der Anschauung, (als Raum und Zeit,) imgleichen andere
Formen des Verstandes, (als die diskursive des Denkens, oder der
Erkenntnis durch Begriffe,) ob sie gleich möglich wären, können wir
uns doch auf keinerlei Weise erdenken und faßlich machen, aber, wenn
wir es auch könnten, so würden sie doch nicht zur Erfahrung, als dem
einzigen Erkenntnis gehören, worin uns Gegenstände gegeben werden. Ob
andere Wahrnehmungen, als überhaupt, zu unserer gesamten möglichen
Erfahrung gehören, und also ein ganz anderes Feld der Materie noch
stattfinden könne, kann der Verstand nicht entscheiden, er hat es
nur mit der Synthesis dessen zu tun, was gegeben ist. Sonst ist die
Armseligkeit unserer gewöhnlichen Schlüsse, wodurch wir ein großes
Reich der Möglichkeit herausbringen, davon alles Wirkliche (aller
Gegenstand der Erfahrung) nur ein kleiner Teil sei, sehr in die Augen
fallend. Alles Wirkliche ist möglich; hieraus folgt natürlicherweise,
nach den logischen Regeln der Umkehrung, der bloß partikulare Satz:
einiges Mögliche ist wirklich, welches denn soviel zu bedeuten
scheint, als: es ist vieles möglich, was nicht wirklich ist. Zwar hat
es den Anschein, als könne man auch geradezu die Zahl des Möglichen
über die des Wirklichen dadurch hinaussetzen, weil zu jener noch etwas
hinzukommen muß, um diese auszumachen. Allein dieses Hinzukommen zum
Möglichen kenne ich nicht. Denn was über dasselbe noch zugesetzt
werden sollte, wäre unmöglich. Es kann nur zu meinem Verstande etwas
über die Zusammenstimmung mit den formalen Bedingungen der Erfahrung,
nämlich die Verknüpfung mit irgendeiner Wahrnehmung, hinzukommen; was
aber mit dieser nach empirischen Gesetzen verknüpft ist, ist wirklich,
ob es gleich unmittelbar nicht wahrgenommen wird. Daß aber im
durchgängigen Zusammenhange mit dem, was mir in der Wahrnehmung
gegeben ist, eine andere Reihe von Erscheinungen, mithin mehr als eine
einzige alles befassende Erfahrung möglich sei, läßt sich aus dem, was
gegeben ist, nicht schließen, und, ohne daß irgend etwas gegeben ist,
noch viel weniger; weil ohne Stoff sich überall nichts denken läßt.
Was unter Bedingungen, die selbst bloß möglich sind, allein möglich
ist, ist es nicht in aller Absicht. In dieser aber wird die Frage
genommen, wenn man wissen will, ob die Möglichkeit der Dinge sich
weiter erstrecke, als Erfahrung reichen kann."
164,"Ich habe dieser Fragen nur Erwähnung getan, um keine Lücke in
demjenigen zu lassen, was, der gemeinen Meinung nach, zu den
Verstandesbegriffen gehört. In der Tat ist aber die absolute
Möglichkeit (die in aller Absicht gültig ist) kein bloßer
Verstandesbegriff, und kann auf keinerlei Weise von empirischem
Gebrauche sein, sondern er gehört allein der Vernunft zu, die über
allen möglichen empirischen Verstandesgebrauch hinausgeht. Daher haben
wir uns hierbei mit einer bloß kritischen Anmerkung begnügen müssen,
übrigens aber die Sache bis zum weiteren künftigen Verfahren in der
Dunkelheit gelassen."
165,"Da ich eben diese vierte Nummer, und mit ihr zugleich das System aller
Grundsätze des reinen Verstandes schließen will, so muß ich noch Grund
angeben, warum ich die Prinzipien der Modalität gerade Postulate
genannt habe. Ich will diesen Ausdruck hier nicht in der Bedeutung
nehmen, welche ihm einige neuere philosophische Verfasser, wider den
Sinn der Mathematiker, denen er doch eigentlich angehört, gegeben
haben, nämlich: daß Postulieren so viel heißen solle, als einen Satz
für unmittelbar gewiß, ohne Rechtfertigung, oder Beweis ausgeben;
denn, wenn wir das bei synthetischen Sätzen, so evident sie auch sein
mögen, einräumen sollten, daß man sie ohne Deduktion, auf das Ansehen
ihres eigenen Ausspruchs, dem unbedingten Beifalle aufheften dürfe,
so ist alle Kritik des Verstandes verloren, und, da es an dreisten
Anmaßungen nicht fehlt, deren sich auch der gemeine Glaube, (der aber
kein Kreditiv ist) nicht weigert; so wird unser Verstand jedem Wahne
offen stehen, ohne daß er seinen Beifall denen Aussprüchen versagen
kann, die, obgleich unrechtmäßig, doch in eben demselben Tone der
Zuversicht, als wirkliche Axiome eingelassen zu werden verlangen. Wenn
also zu dem Begriffe eines Dinges eine Bestimmung a priori synthetisch
hinzukommt, so muß von einem solchen Satze, wo nicht ein Beweis,
doch wenigstens eine Deduktion der Rechtmäßigkeit seiner Behauptung
unnachläßlich hinzugefügt werden."
